26	heat up (sth) or heat (sth) up	to become warm or hot, or to make something warmer or hotter
26	pan out	to develop or happen in a particular way
26	phase in sth or phase sth in	to make a new system, process, or law gradually begin to happen or exist
26	phase out sth or phase sth out	to gradually stop using or supplying something
26	pick up	if something [e.g. business, economy, trade] picks up, it improves or increases after a bad period
26	stick with sth	to do or use something as you had planned and not change to something else, or to continue doing something even though it is difficult
26	wake up to sth	to become aware of a situation or problem
26	wear off	if feeling or the effect of something [e.g. anaesthetic, alcohol] wears off, it gradually disappears
27	bring off sth or bring sth off	to succeed in doing something difficult
27	build on sth	to use a success or achievement as a base from which to achieve more success
27	catch on	to become popular
27,42	catch up	to reach the same quality or standard as someone or something else
27	muddle through	to succeed in doing something even though you have difficulties because you do not really know how to do it
27	pay off	if something that you have done to try to achieve something pays off, it is successful
27	pull off sth or pull sth off	to succeed in doing or achieving something difficult
27	stay ahead	to continue to be more advanced and successful than other people
27	take over	to become more successful or powerful than something or someone else that is involved in the same type of activity
27	walk into sth	to get a job very easily
28	break off (sth) or break (sth) off	to stop doing something
28	finish off sth or finish sth off	to complete the last part of something that you are doing
28	fizzle out	to gradually end or disappear, especially in a disappointing way
28	give up sth or give sth up	to stop doing a regular activity or a job
28	give up (sth/doing sth) or give (sth) up	to stop doing an activity or piece of work before you have completed it, usually because it is too difficult
28	pack up (sth) or pack (sth) up	to collect your things together and put them into bags or boxes, especially when you have finished doing something
28	polish off sth or polish sth off	informal to finish something quickly and easily, especially a large amount of food or a piece of work
28	set about sth/doing sth	to start doing something, especially something that uses a lot of time or energy
28	start off	to start a life, existence, or profession in a particular way
28	start out	to start a life, existence, or profession in a particular way
28	wind down	to gradually relax after doing something that has made you feel tired or worried
29	get down sth or get sth down	to get something that is above your head by reaching with your hand
29	help sb off with sth	to help someone remove a piece of outer clothing [e.g. coat]
29	help sb on with sth	to help someone to put on a piece of clothing
29	move up	British & Australian to move slightly so that there is enough space for someone else
29	pick up sth/sb or pick sth/sb up	to lift something or someone by using your hands
29	pop out	informal to leave the place where you are and go somewhere for a short time
29	reach out (sth) or reach (sth) out	to stretch your arm in front of your body, usually in order to get or touch something
29	slow down (sth/sb) or slow (sth/sb) down	to become slower, or to make something or someone slower
29	slow up (sth/sb) or slow (sth/sb) up	to become slower, or to make something or someone slower
29	tear up sth or tear sth up	to tear something, especially paper or cloth, into a lot of small pieces
29	tie up sth or tie sth up	to put string or rope around something so that it is fastened together
29	wrap up sth or wrap sth up	to cover something in paper, cloth, or other material, especially in order to give it to someone as a present or in order to protect it
30	bend over backwards to do sth	to try extremely hard to do something to help or please someone
30	fall apart	if something falls apart, it breaks or breaks into pieces because it is old or weak
30	fight back	to defend yourself when someone or something attacks you or causes problems for you
30	pull down sth or pull sth down	to destroy a building or other structure because it is not being used or it is not wanted any more
30	screw up sth or screw sth up	to twist and crush paper or material with your hands
30	see sb through (sth)	to help or support someone during a difficult period in their life
30	setback n	a problem that makes something happen later or more slowly than it should
30	stamp out sth or stamp sth out	to get rid of something that is considered wrong or harmful
30	tear apart sth or tear sth apart	to pull something violently so that it breaks into two or more pieces
30	turn on/upon sb	to attack someone or criticise someone very strongly
31	bubble over	to be very excited and enthusiastic
31	butt in	to interrupt a conversation or discussion or someone who is talking
31,70	come back to sth	to start talking about a particular subject again
31	get through to sb	to succeed in making someone understand or believe something
31	keep to sth	to do what you have promised or planned to do
31	leave aside sth or leave sth aside	to not discuss or consider a particular subject so that you can discuss a different subject
31	speak up	to publicly express your opinions about something or someone, especially in order to support them
31	spell out sth or spell sth out	to explain something in detail and in a clear way
31	turn down sb/sth or turn sb/sth down	to refuse an offer or request
31	turn to sb	to ask someone for help, sympathy or advice
32	be littered with sth	if something is littered with a particular type of thing, it has or contains a lot of that thing
32	blend in or blend into sth	if something or someone blends in, they look or seem the same as the things or people around them and so you do not notice them
32	do up sth or do sth up	to fasten something
32,69	freshen up	to quickly wash yourself so that you feel clean
32	littered with sth	if something is littered with a particular type of thing, it has or contains a lot of that thing
32	rundown adj	in poor condition or shabby
32	set apart sb/sth or set sb/sth apart	if a quality sets someone or something apart, it makes them different from and usually better than others of the same type
32	stand out	if someone or something stands out, they are very noticeable because they look different or behave differently from other people or things
32	stick out	if part of something sticks out, it comes out beyond the edge or surface of something
32	tell sth/sb apart	to be able to see the differences between two similar things or people and judge which is which
32	tell sb/sth from sb/sth	if you can tell one person or thing from a similar person or thing, you are able to say which of them is which because you can see the differences between them
32	wrap up (sb) or wrap (sb) up	to dress in warm clothes, or to dress someone in warm clothes or cover them with material that protects them from the cold
33	be booked up	if an event, person, or place is booked up, they have no space or time available for someone
33	booked up	if an event, person, or place is booked up, they have no space or time available for someone
33	cram in/into	if a lot of people or animals cram in or cram into a place, they all go into it even though it is too small for all of them and becomes very full
33	packed out adj	very full of people
33	pour in	to arrive or enter somewhere in very large numbers
33	pour out	to leave a place in large numbers
33	put forward	to change the date or time of an event so that it happens earlier than planned
