unit	collocation
2, 9	have a look
53	have a lot of influence
25	have a match
56	have misgivings about
9	have a nightmare
57	have no option
2, 9	have a party
9	have a problem
22	have a quick snack
2	have a rest
9	have a row
57	have second thoughts
44	have a sharp tongue
45	have a smell
56	have a sneaking suspicion
56	have strong opinions
59	have sympathy
45	have a taste
17	have a tendency
5	have a think
40	have the time of your life
40	have time to
9	have a try
21	have a view of
17	have a vivid imagination
49	have a word
26	head injuries
26	splitting headache
36	hit the headlines
36	make headlines
36	be headline news
50	rush headlong into
54	sensitive to heat
13	rain heavily
58	heavy hint
13	heavy rain
1, 13	heavy snow
50	heavy steps
42	high heels
24	musical heritage
57	slight hesitation
42	high interest rates
2	high jump
42	high mountain
37, 42	high price
42	high tide
13	high wind
6	ridiculously high
17	set high standards
30	high-powered job
59	highest regard
17	highly intelligent
6	highly likely
6	highly profitable
6, 23	highly recommended
6	highly successful
6	highly unlikely
6	highly unusual
60	speak highly of
27	hints and tips
28	study history
39	earthquake hits
46	keep hitting
5	outbreak hits
13	weather hits
24	massive hit
25	play hockey
56	hold the opinion that
36	hold talks
56	hold the view that
25	world record holder
9	take a holiday
25	home match
21	leave home
54	leave something at home
21	make yourself at home
21	second home
19	set up home
19	stable home
21	welcome someone home
38	horrors of war
36	take hostage
13	scorching hot
14	luxury hotel
14	run-down hotel
14	smart hotel
40	the small hours
1	spend hours
40	ungodly hours
21	do up a house
48	move house
21	move into a house
21	house-warming party
59	huge pleasure
17	sense of humour
41	machine hums
19	late husband
